,Country,latitude,longitude
8,Angola,-11.202691999999999,17.873887
23,Burundi,-3.3730559999999996,29.918885999999997
24,Benin,9.30769,2.315834
32,Botswana,-22.328474,24.684866
44,Cameroon,7.369722,12.354722
54,Djibouti,11.825138,42.590275
58,Algeria,28.033886,1.6596259999999998
61,Egypt,26.820553000000004,30.802497999999996
63,Eritrea,15.179383999999999,39.782334000000006
65,Ethiopia,9.145,40.489672999999996
72,Gabon,-0.803689,11.609444
78,Ghana,7.946527000000001,-1.0231940000000002
81,Gambia,13.443182,-15.310139000000001
82,Guinea,9.945587,-9.696645
89,Guinea-Bissau,11.803749,-15.180413
112,Kenya,-0.023559,37.906193
116,Comoros,-11.875001,43.872219
128,Liberia,6.4280550000000005,-9.429499
129,Lesotho,-29.609988,28.233608
133,Libya,26.3351,17.228331
134,Morocco,31.791702,-7.09262
138,Madagascar,-18.766947000000002,46.869107
141,Mali,17.570692,-3.9961660000000006
147,Mauritania,21.00789,-10.940835
150,Mauritius,-20.348404000000002,57.552152
152,Malawi,-13.254307999999998,34.301525
155,Mozambique,-18.665695,35.529562
156,Namibia,-22.957639999999998,18.49041
158,Niger,17.607789,8.081666
160,Nigeria,9.081999,8.675277000000001
188,Rwanda,-1.940278,29.873888
191,Seychelles,-4.679574,55.491977
192,Sudan,12.862807,30.217636
201,Senegal,14.497401000000002,-14.452361999999999
202,Somalia,5.152149,46.199616
207,Swaziland,-26.522503000000004,31.465866
209,Chad,15.454166,18.732207
211,Togo,8.619543,0.824782
217,Tunisia,33.886917,9.537499
223,Tanzania,-6.369028,34.888822
225,Uganda,1.373333,32.290275
243,Zambia,-13.133897,27.849332
244,Zimbabwe,-19.015438,29.154857
